,0,1,2,3,4
0,0,3,male,22,S
1,1,1,female,38,C
2,1,3,female,26,S
3,1,1,female,35,S
4,0,3,male,35,S
5,0,1,male,54,S
6,0,3,male,2,S
7,1,3,female,27,S
8,1,2,female,14,C
9,1,3,female,4,S
10,1,1,female,58,S
11,0,3,male,20,S
12,0,3,male,39,S
13,0,3,female,14,S
14,1,2,female,55,S
15,0,3,male,2,Q
16,0,3,female,31,S
17,0,2,male,35,S
18,1,2,male,34,S
19,1,3,female,15,Q
20,1,1,male,28,S
21,0,3,female,8,S
22,1,3,female,38,S
23,0,1,male,19,S
24,0,1,male,40,C
25,0,2,male,66,S
26,0,1,male,28,C
27,0,1,male,42,S
28,0,3,male,21,S
29,0,3,female,18,S
30,1,3,female,14,C
31,0,3,female,40,S
32,0,2,female,27,S
33,1,2,female,3,C
34,1,3,female,19,Q
35,0,3,female,18,S
36,0,3,male,7,S
37,0,3,male,21,S
38,1,1,female,49,C
39,1,2,female,29,S
40,0,1,male,65,C
41,1,2,female,21,S
42,0,3,male,28.5,C
43,1,2,female,5,S
44,0,3,male,11,S
45,0,3,male,22,C
46,1,1,female,38,
47,0,1,male,45,S
48,0,3,male,4,S
49,1,2,female,29,S
50,0,3,male,19,S
51,1,3,female,17,S
52,0,3,male,26,S
53,0,2,male,32,S
54,0,3,female,16,S
55,0,2,male,21,S
56,0,3,male,26,C
57,1,3,male,32,S
58,0,3,male,25,S
59,1,2,male,0.83,S
60,1,3,female,30,S
61,0,3,male,22,S
62,1,3,male,29,S
63,0,1,male,28,S
64,1,2,female,17,S
65,1,3,female,33,S
66,0,3,male,16,S
67,1,1,female,23,S
68,0,3,male,24,S
69,0,3,male,29,S
70,0,3,male,20,S
71,0,1,male,46,S
72,0,3,male,26,S
73,0,3,male,59,S
74,0,1,male,71,C
75,1,1,male,23,C
76,1,2,female,34,S
77,0,2,male,34,S
78,0,3,female,28,S
79,0,1,male,21,S
80,0,3,male,33,S
81,0,3,male,37,S
82,0,3,male,28,S
83,1,3,female,21,S
84,0,3,male,38,S
85,0,1,male,47,S
86,0,3,female,14.5,C
87,0,3,male,22,S
88,0,3,female,20,S
89,0,3,female,17,C
90,0,3,male,21,S
91,0,3,male,70.5,Q
92,0,2,male,29,S
93,0,1,male,24,C
94,0,3,female,2,S
95,0,2,male,21,S
96,0,2,male,32.5,C
97,1,2,female,32.5,S
98,0,1,male,54,S
99,1,3,male,12,C
100,1,3,male,24,S
101,0,3,male,45,S
102,0,3,male,33,C
103,0,3,male,20,S
104,0,3,female,47,S
105,1,2,female,29,S
106,0,2,male,25,S
107,0,2,male,23,C
108,1,1,female,19,S
109,0,1,male,37,S
110,0,3,male,16,S
111,0,1,male,24,C
112,1,3,female,22,S
113,1,3,female,24,S
114,0,3,male,19,Q
115,0,2,male,18,S
116,0,2,male,19,S
117,1,3,male,27,S
118,0,3,female,9,S
119,0,2,male,36.5,S
120,0,2,male,42,S
121,0,2,male,51,S
122,1,1,female,22,S
123,0,3,male,55.5,S
124,0,3,male,40.5,S
125,0,1,male,51,C
126,1,3,female,16,Q
127,0,3,male,30,S
128,0,3,male,44,S
129,1,2,female,40,S
130,0,3,male,26,S
131,0,3,male,17,S
132,0,3,male,1,S
133,1,3,male,9,S
134,0,3,female,45,S
135,0,3,male,28,S
136,0,1,male,61,S
137,0,3,male,4,Q
138,1,3,female,1,S
139,0,3,male,21,S
140,0,1,male,56,C
141,0,3,male,18,S
142,0,1,female,50,C
143,0,2,male,30,S
144,0,3,male,36,S
145,0,3,male,9,S
146,1,2,male,1,S
147,1,3,female,4,S
148,1,1,male,45,S
149,0,3,male,40,Q
150,0,3,male,36,S
151,1,2,female,32,S
152,0,2,male,19,S
153,1,3,female,19,S
154,1,2,male,3,S
155,1,1,female,44,C
156,1,1,female,58,C
157,0,3,male,42,S
158,0,2,female,24,S
159,0,3,male,28,S
160,0,3,male,34,S
161,0,3,male,45.5,C
162,1,3,male,18,S
163,0,3,female,2,S
164,0,3,male,32,S
165,1,3,male,26,C
166,1,3,female,16,Q
167,1,1,male,40,C
168,0,3,male,24,S
169,1,2,female,35,S
170,0,3,male,22,S
171,0,2,male,30,S
172,1,1,female,31,C
173,1,3,female,27,S
174,0,2,male,42,S
175,1,1,female,32,C
176,0,2,male,30,S
177,1,3,male,16,S
178,0,2,male,27,S
179,0,3,male,51,S
180,1,1,male,38,S
181,0,3,male,22,S
182,1,2,male,19,S
183,0,3,male,20.5,S
184,0,2,male,18,S
185,1,1,female,35,S
186,0,3,male,29,S
187,0,2,male,59,S
188,1,3,female,5,S
189,0,2,male,24,S
190,0,2,male,44,S
191,1,2,female,8,S
192,0,2,male,19,S
193,0,2,male,33,S
194,0,2,male,29,S
195,0,3,male,22,S
196,0,3,male,30,C
197,0,1,male,44,Q
198,0,3,female,25,S
199,1,2,female,24,S
200,1,1,male,37,S
201,0,2,male,54,S
202,0,3,female,29,S
203,0,1,male,62,S
204,0,3,male,30,S
205,0,3,female,41,S
206,1,3,female,29,C
207,1,1,female,30,S
208,1,1,female,35,C
209,1,2,female,50,S
210,1,3,male,3,S
211,0,1,male,52,S
212,0,1,male,40,S
213,0,2,male,36,S
214,0,3,male,16,S
215,1,3,male,25,S
216,1,1,female,58,S
217,1,1,female,35,S
218,1,3,male,25,S
219,1,2,female,41,S
220,0,1,male,37,C
221,1,1,female,63,S
222,0,3,female,45,S
223,0,3,male,7,Q
224,1,3,female,35,S
225,0,3,male,65,Q
226,0,3,male,28,S
227,0,3,male,16,S
228,1,3,male,19,S
229,0,3,male,33,C
230,1,3,male,30,S
231,0,3,male,22,S
232,1,2,male,42,S
233,1,3,female,22,Q
234,1,1,female,26,S
235,1,1,female,19,C
236,0,2,male,36,C
237,0,3,female,24,S
238,0,3,male,24,S
239,0,3,male,23.5,C
240,0,1,female,2,S
241,1,1,female,50,C
242,0,3,male,19,S
243,1,1,male,0.92,S
244,1,1,female,17,C
245,0,2,male,30,C
246,1,1,female,30,C
247,1,1,female,24,C
248,1,1,female,18,C
249,0,2,female,26,S
250,0,3,male,28,S
251,0,2,male,43,S
252,1,3,female,26,S
253,1,2,female,24,S
254,0,2,male,54,S
255,1,1,female,31,S
256,1,1,female,40,C
257,0,3,male,22,S
258,0,3,male,27,S
259,1,2,female,30,Q
260,1,2,female,22,S
261,1,1,female,36,C
262,0,3,male,61,S
263,1,2,female,36,S
264,1,3,female,31,S
265,1,1,female,16,C
266,0,1,male,45.5,S
267,0,1,male,38,S
268,0,3,male,16,S
269,0,1,male,29,S
270,1,1,female,41,C
271,1,3,male,45,S
272,0,1,male,45,S
273,1,2,male,2,S
274,1,1,female,24,S
275,0,2,male,28,S
276,0,2,male,25,S
277,0,2,male,36,S
278,1,2,female,24,S
279,1,2,female,40,S
280,1,3,male,3,S
281,0,3,male,42,S
282,0,3,male,23,S
283,0,3,male,15,C
284,0,3,male,25,S
285,0,3,male,28,S
286,1,1,female,22,S
287,0,2,female,38,S
288,0,3,male,40,S
289,0,2,male,29,C
290,0,3,female,45,C
291,0,3,male,35,S
292,0,3,male,30,S
293,1,1,female,60,C
294,1,1,female,24,C
295,1,1,male,25,C
296,0,3,male,18,S
297,0,3,male,19,S
298,0,1,male,22,C
299,0,3,female,3,S
300,1,3,female,22,S
301,0,1,male,27,C
302,0,3,male,20,C
303,0,3,male,19,S
304,1,1,female,42,C
305,1,3,female,1,C
306,0,3,male,32,S
307,1,1,female,35,S
308,0,2,male,18,S
309,0,3,male,1,S
310,1,2,female,36,S
311,1,2,female,17,C
312,1,1,male,36,S
313,1,3,male,21,S
314,0,3,male,28,S
315,1,1,female,23,C
316,1,3,female,24,S
317,0,3,male,22,S
318,0,3,female,31,S
319,0,2,male,46,S
320,0,2,male,23,S
321,1,2,female,28,S
322,1,3,male,39,S
323,0,3,male,26,S
324,0,3,female,21,S
325,0,3,male,28,S
326,0,3,female,20,S
327,0,2,male,34,S
328,0,3,male,51,S
329,1,2,male,3,S
330,0,3,male,21,S
331,1,1,female,33,Q
332,1,3,male,44,S
333,1,2,female,34,S
334,1,2,female,18,S
335,0,2,male,30,S
336,0,3,female,10,S
337,0,3,male,21,Q
338,0,3,male,29,S
339,0,3,female,28,S
340,0,3,male,18,S
341,1,2,female,28,S
342,1,2,female,19,S
343,1,3,male,32,S
344,1,1,male,28,S
345,1,2,female,42,S
346,0,3,male,17,S
347,0,1,male,50,S
348,1,1,female,14,S
349,0,3,female,21,S
350,1,2,female,24,S
351,0,1,male,64,S
352,0,2,male,31,S
353,1,2,female,45,S
